알약 이름,복용 적절 시간,복용 방법,성분,효능
비타민 A,아침,식전,레티놀,시력 개선
비타민 B12,점심,식후,코발라민,신경계 건강
비타민 C,저녁,식전,아스코르브산,면역력 강화
비타민 D,아침,식후,콜레칼시페롤,뼈 건강
칼슘,점심,식전,칼슘,뼈 건강
마그네슘,저녁,식후,마그네슘,근육 기능
아연,아침,식전,아연,면역력 강화
철분,점심,식후,철,혈액 건강
오메가-3,저녁,식전,EPA 및 DHA,심장 건강
프로바이오틱스,아침,식후,유산균,소화기 건강
비타민 A,아침,식전,레티놀,시력 개선
비타민 B12,점심,식후,코발라민,신경계 건강
비타민 C,저녁,식전,아스코르브산,면역력 강화
비타민 D,아침,식후,콜레칼시페롤,뼈 건강
칼슘,점심,식전,칼슘,뼈 건강
마그네슘,저녁,식후,마그네슘,근육 기능
아연,아침,식전,아연,면역력 강화
철분,점심,식후,철,혈액 건강
오메가-3,저녁,식전,EPA 및 DHA,심장 건강
프로바이오틱스,아침,식후,유산균,소화기 건강
비타민 A,아침,식전,레티놀,시력 개선
비타민 B12,점심,식후,코발라민,신경계 건강
비타민 C,저녁,식전,아스코르브산,면역력 강화
비타민 D,아침,식후,콜레칼시페롤,뼈 건강
칼슘,점심,식전,칼슘,뼈 건강
마그네슘,저녁,식후,마그네슘,근육 기능
아연,아침,식전,아연,면역력 강화
철분,점심,식후,철,혈액 건강
오메가-3,저녁,식전,EPA 및 DHA,심장 건강
프로바이오틱스,아침,식후,유산균,소화기 건강
